#"FID1 - B:Signal #1 LEO_027_1eq_02h.D"
#Point,X(Minutes),Y(Response Units)
791,0.2637,70582
792,0.2640,70748
793,0.2643,70615
794,0.2647,70674
795,0.2650,70493
796,0.2653,70604
797,0.2657,70520
798,0.2660,70673
799,0.2663,70578
800,0.2667,70578
801,0.2670,70345
802,0.2673,70409
803,0.2677,70410
804,0.2680,70685
805,0.2683,70610
806,0.2687,70643
807,0.2690,70490
808,0.2693,70559
809,0.2697,70486
810,0.2700,70597
811,0.2703,70538
812,0.2707,70584
813,0.2710,70497
814,0.2713,70561
815,0.2717,70553
816,0.2720,70655
817,0.2723,70613
818,0.2727,70612
819,0.2730,70438
820,0.2733,70432
821,0.2737,70611
822,0.2740,70518
823,0.2743,70568
824,0.2747,70409
825,0.2750,70588
826,0.2753,70638
827,0.2757,70879
828,0.2760,70737
829,0.2763,70710
830,0.2767,70446
831,0.2770,70517
832,0.2773,70676
833,0.2777,70671
834,0.2780,70654
835,0.2783,70465
836,0.2787,70500
837,0.2790,70496
838,0.2793,70698
839,0.2797,70633
840,0.2800,70685
841,0.2803,70522
842,0.2807,70572
843,0.2810,70643
844,0.2813,70552
845,0.2817,70530
846,0.2820,70422
847,0.2823,70473
848,0.2827,70673
849,0.2830,70602
850,0.2833,70637
851,0.2837,70453
852,0.2840,70532
853,0.2843,70686
854,0.2847,70624
855,0.2850,70606
856,0.2853,70432
857,0.2857,70474
858,0.2860,70644
859,0.2863,70585
860,0.2867,70645
861,0.2870,70540
862,0.2873,70604
863,0.2877,70756
864,0.2880,70596
865,0.2883,70628
866,0.2887,70456
867,0.2890,70521
868,0.2893,70572
869,0.2897,70499
870,0.2900,70470
871,0.2903,70437
872,0.2907,70527
873,0.2910,70748
874,0.2913,70588
875,0.2917,70575
876,0.2920,70382
877,0.2923,70519
878,0.2927,70683
879,0.2930,70680
880,0.2933,70675
881,0.2937,70519
882,0.2940,70560
883,0.2943,70632
884,0.2947,70500
885,0.2950,70468
886,0.2953,70363
887,0.2957,70416
888,0.2960,70606
889,0.2963,70488
890,0.2967,70564
891,0.2970,70354
892,0.2973,70437
893,0.2977,70524
894,0.2980,70528
895,0.2983,70545
896,0.2987,70496
897,0.2990,70524
898,0.2993,70708
899,0.2997,70494
900,0.3000,70485
901,0.3003,70298
902,0.3007,70504
903,0.3010,70516
904,0.3013,70697
905,0.3017,70556
906,0.3020,70549
907,0.3023,70420
908,0.3027,70524
909,0.3030,70741
910,0.3033,70636
911,0.3037,70674
912,0.3040,70494
913,0.3043,70582
914,0.3047,70665
915,0.3050,70532
916,0.3053,70500
917,0.3057,70368
918,0.3060,70514
919,0.3063,70770
920,0.3067,70668
921,0.3070,70684
922,0.3073,70428
923,0.3077,70547
924,0.3080,70438
925,0.3083,70612
926,0.3087,70481
