#"FID1 - B:Signal #1 LEO_027_1eq_05h.D"
#Point,X(Minutes),Y(Response Units)
959,0.3197,69531
960,0.3200,69718
961,0.3203,69768
962,0.3207,69795
963,0.3210,69655
964,0.3213,69597
965,0.3217,69701
966,0.3220,69729
967,0.3223,69764
968,0.3227,69703
969,0.3230,69677
970,0.3233,69755
971,0.3237,69687
972,0.3240,69710
973,0.3243,69631
974,0.3247,69683
975,0.3250,69662
976,0.3253,69769
977,0.3257,69713
978,0.3260,69721
979,0.3263,69583
980,0.3267,69639
981,0.3270,69737
982,0.3273,69772
983,0.3277,69687
984,0.3280,69670
985,0.3283,69679
986,0.3287,69851
987,0.3290,69823
988,0.3293,69765
989,0.3297,69668
990,0.3300,69603
991,0.3303,69741
992,0.3307,69735
993,0.3310,69793
994,0.3313,69695
995,0.3317,69704
996,0.3320,69660
997,0.3323,69791
998,0.3327,69739
999,0.3330,69741
1000,0.3333,69595
1001,0.3337,69664
1002,0.3340,69720
1003,0.3343,69746
1004,0.3347,69692
1005,0.3350,69677
1006,0.3353,69666
1007,0.3357,69810
1008,0.3360,69813
1009,0.3363,69817
1010,0.3367,69718
1011,0.3370,69684
1012,0.3373,69680
1013,0.3377,69749
1014,0.3380,69788
1015,0.3383,69784
1016,0.3387,69726
1017,0.3390,69696
1018,0.3393,69842
1019,0.3397,69824
1020,0.3400,69827
1021,0.3403,69685
1022,0.3407,69640
1023,0.3410,69688
1024,0.3413,69733
1025,0.3417,69724
1026,0.3420,69678
1027,0.3423,69585
1028,0.3427,69723
1029,0.3430,69721
1030,0.3433,69745
1031,0.3437,69635
1032,0.3440,69666
1033,0.3443,69714
1034,0.3447,69845
1035,0.3450,69887
1036,0.3453,69831
1037,0.3457,69724
1038,0.3460,69621
1039,0.3463,69798
1040,0.3467,69770
1041,0.3470,69758
1042,0.3473,69571
1043,0.3477,69573
1044,0.3480,69699
1045,0.3483,69804
1046,0.3487,69791
1047,0.3490,69670
1048,0.3493,69540
1049,0.3497,69653
1050,0.3500,69737
1051,0.3503,69759
1052,0.3507,69694
1053,0.3510,69687
1054,0.3513,69768
1055,0.3517,69808
1056,0.3520,69769
1057,0.3523,69688
1058,0.3527,69630
1059,0.3530,69581
1060,0.3533,69709
1061,0.3537,69714
1062,0.3540,69715
1063,0.3543,69632
1064,0.3547,69615
1065,0.3550,69748
1066,0.3553,69766
1067,0.3557,69736
1068,0.3560,69590
1069,0.3563,69529
1070,0.3567,69585
1071,0.3570,69648
1072,0.3573,69664
1073,0.3577,69630
1074,0.3580,69623
1075,0.3583,69700
1076,0.3587,69800
1077,0.3590,69835
1078,0.3593,69742
1079,0.3597,69649
1080,0.3600,69579
1081,0.3603,69753
1082,0.3607,69812
1083,0.3610,69820
1084,0.3613,69732
1085,0.3617,69701
1086,0.3620,69783
1087,0.3623,69773
1088,0.3627,69693
1089,0.3630,69643
1090,0.3633,69631
1091,0.3637,69765
1092,0.3640,69809
1093,0.3643,69774
1094,0.3647,69706
1095,0.3650,69682
1096,0.3653,69735
1097,0.3657,69810
1098,0.3660,69811
1099,0.3663,69734
1100,0.3667,69630
1101,0.3670,69606
1102,0.3673,69713
1103,0.3677,69770
1104,0.3680,69737
1105,0.3683,69650
1106,0.3687,69612
1107,0.3690,69769
1108,0.3693,69809
1109,0.3697,69761
1110,0.3700,69671
1111,0.3703,69704
1112,0.3707,69835
1113,0.3710,69807
1114,0.3713,69723
1115,0.3717,69678
1116,0.3720,69759
1117,0.3723,69844
1118,0.3727,69890
1119,0.3730,69781
1120,0.3733,69735
1121,0.3737,69666
1122,0.3740,69655
1123,0.3743,69717
1124,0.3747,69711
1125,0.3750,69696
1126,0.3753,69620
1127,0.3757,69543
1128,0.3760,69640
1129,0.3763,69663
1130,0.3767,69677
1131,0.3770,69637
1132,0.3773,69622
1133,0.3777,69650
1134,0.3780,69643
1135,0.3783,69666
1136,0.3787,69599
1137,0.3790,69568
1138,0.3793,69555
1139,0.3797,69753
1140,0.3800,69801
1141,0.3803,69753
1142,0.3807,69580
1143,0.3810,69546
1144,0.3813,69672
1145,0.3817,69829
1146,0.3820,69885
1147,0.3823,69853
1148,0.3827,69867
1149,0.3830,69920
1150,0.3833,69880
1151,0.3837,69723
1152,0.3840,69636
1153,0.3843,69555
1154,0.3847,69639
1155,0.3850,69707
1156,0.3853,69828
1157,0.3857,69744
1158,0.3860,69703
1159,0.3863,69645
1160,0.3867,69780
1161,0.3870,69746
1162,0.3873,69696
1163,0.3877,69637
1164,0.3880,69610
1165,0.3883,69745
1166,0.3887,69715
1167,0.3890,69677
1168,0.3893,69558
1169,0.3897,69541
1170,0.3900,69680
1171,0.3903,69798
1172,0.3907,69802
1173,0.3910,69776
1174,0.3913,69742
1175,0.3917,69824
1176,0.3920,69792
1177,0.3923,69736
1178,0.3927,69656
1179,0.3930,69608
1180,0.3933,69681
1181,0.3937,69753
1182,0.3940,69746
1183,0.3943,69625
1184,0.3947,69633
1185,0.3950,69727
1186,0.3953,69786
1187,0.3957,69732
1188,0.3960,69692
1189,0.3963,69753
1190,0.3967,69811
1191,0.3970,69751
1192,0.3973,69717
1193,0.3977,69662
1194,0.3980,69738
1195,0.3983,69744
1196,0.3987,69720
1197,0.3990,69719
1198,0.3993,69719
1199,0.3997,69846
1200,0.4000,69864
1201,0.4003,69801
1202,0.4007,69674
1203,0.4010,69630
1204,0.4013,69712
1205,0.4017,69742
1206,0.4020,69680
1207,0.4023,69597
1208,0.4027,69546
1209,0.4030,69728
1210,0.4033,69796
1211,0.4037,69798
1212,0.4040,69697
1213,0.4043,69635
1214,0.4047,69720
1215,0.4050,69729
1216,0.4053,69687
1217,0.4057,69607
1218,0.4060,69560
1219,0.4063,69719
1220,0.4067,69760
1221,0.4070,69723
1222,0.4073,69629
1223,0.4077,69594
1224,0.4080,69701
1225,0.4083,69720
1226,0.4087,69691
1227,0.4090,69585
1228,0.4093,69570
1229,0.4097,69722
1230,0.4100,69852
1231,0.4103,69838
1232,0.4107,69768
1233,0.4110,69656
1234,0.4113,69757
1235,0.4117,69797
1236,0.4120,69766
1237,0.4123,69705
1238,0.4127,69581
1239,0.4130,69627
1240,0.4133,69605
1241,0.4137,69615
1242,0.4140,69608
1243,0.4143,69589
1244,0.4147,69692
1245,0.4150,69804
1246,0.4153,69809
1247,0.4157,69741
1248,0.4160,69650
1249,0.4163,69684
1250,0.4167,69711
1251,0.4170,69646
1252,0.4173,69602
1253,0.4177,69591
1254,0.4180,69754
1255,0.4183,69841
1256,0.4187,69782
1257,0.4190,69658
1258,0.4193,69554
1259,0.4197,69667
1260,0.4200,69756
1261,0.4203,69791
1262,0.4207,69747
1263,0.4210,69667
1264,0.4213,69734
1265,0.4217,69771
1266,0.4220,69715
